region,n_countries,n_obs,vuln_beta,gdppc_beta,ect_debt,ect_vuln
Caribbean,14,311,-120.31231651836003,-4.233244515244305e-4,-0.14545177986647873,2.8729371207375655e-5
Pacific,6,142,-63.48434206577809,-8.482391299688838e-4,-0.11937511871465264,1.9638690265748958e-4
AIS,7,164,-163.87447076586108,-1.0173460562293442e-4,-0.1377653255060841,2.495541668239303e-5
