horizon,full_panel,caribbean
0,0.014202872157716024,1.8994400349006455
1,-0.1704055859718222,1.6289350206214244
2,-0.14629402537835987,1.234250346350124
3,-0.11013920533763863,0.8721618689054186
4,-0.07769779281891327,0.5658992804533923
5,-0.04998014161858644,0.30985754460977816
6,-0.02643403560729851,0.09625461841546665
7,-0.006446218976893666,-0.08187869014941691
8,0.010519515515332305,-0.23042273289909224
9,0.02491993214950029,-0.35429111896322557
10,0.037142904768202846,-0.4575826862284167
