iso3,country_name_clean,region,debt_source,icrg_match,year,debt,debt_service,vulnerability,exposure,sensitivity,damage_gdp,n_events,deaths_tot,gdp_pc_ppp,gdp_growth,current_account,inflation,fiscal_balance,remittances,trade_gdp_unctad,population,gdp_nominal_usd
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2010,79.398,NA,0.480369933520244,0.47158984760727,0.335586268686777,1396.0816307901189,1,0,25826.6086383235,-7.84050683730972,-10.8739141545735,3.37002540220148,-0.245,2.22777009731304,65.08269767282636,85320,1298348148.14815
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2011,81.127,NA,0.482879607314819,0.47158984760727,0.338046562628042,0,0,0,25023.9174488179,-1.95874262217572,-5.07303916439276,3.4567496723461,-3.09,2.27570759512823,69.05609243153509,86332,1287359259.25926
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2012,76.929,NA,0.479334540090043,0.47158984760727,0.335858856097096,0,0,0,25592.9066121735,3.37314273947959,-8.11026781449488,3.37688044338874,-0.975,2.18690263078164,66.67987418482019,87260,1364729629.62963
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2013,85.38,NA,0.47588587290768,0.47158984760727,0.332044822164203,0,0,0,25206.8458285339,-0.600982329599361,-8.78062787514537,1.05949782356169,-3.829,2.2608267078371602,68.27631299527202,88064,1325496296.2963
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2014,91.887,NA,0.473479275818013,0.47158984760727,0.323659803591809,0,0,0,25557.5249124716,2.19829188738797,-0.0378965310947221,1.08944157435355,-2.601,2.31007836736381,74.49006181313132,88765,1378707407.40741
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2015,92.125,NA,0.476873195191819,0.47158984760727,0.33087277497094,0,0,0,25734.1516444171,1.42161997595372,2.03393623440556,0.968993458825638,-2.418,2.17354673183728,70.67898928426936,89409,1437485185.18519
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2016,83.061,NA,0.474410172010269,0.47158984760727,0.323432953043293,0,0,0,26627.71453894,4.1203675438061,-2.38761069740834,-0.489437796230499,-0.14,1.79280405783904,70.01862289995118,89969,1489603703.7037
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2017,88.176,NA,0.472817217975973,0.47158984760727,0.323624180789696,20844.56734980484,1,1,27199.1952402262,2.71272657973627,-7.6968559845244,2.43248789041363,-2.717,1.56497100082879,64.43603089686306,90468,1534855555.55556
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2018,84.333,NA,0.475272053209847,0.47158984760727,0.331766948637175,0,0,0,28878.6067675471,6.71200487159726,-13.9937660480859,1.20715793367008,-2.43,1.97217459978748,62.352183284924855,90926,1661529629.62963
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2019,81.588,NA,0.467683678007451,0.47158984760727,0.329906294673866,0,0,0,29651.8641526705,3.1722219373937,-6.50528434529466,1.43135598182984,-3.64,2.13590441518768,69.15933161854453,91364,1726448148.14815
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2020,100.465,NA,0.468417107456835,0.47158984760727,0.329951837771233,0,0,0,23930.6714995115,-18.8687765208148,-15.5663867272565,0.625989707046719,-6.227,2.56585012934811,42.07880527467445,91846,1411637037.03704
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2021,92.951,NA,0.468269964515137,0.47158984760727,0.329175640902222,0,0,0,25745.4958067746,8.17286311186622,-17.7815117413436,2.06299638545334,-4.52,2.82536157975282,44.06644874634155,92349,1602125925.92593
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2022,82.028,NA,0.46820476168581,0.47158984760727,0.331349943825026,0,0,0,27941.7851474762,9.10780623385958,-15.6262417034245,7.53107834634288,-2.843,1.86496707164868,59.52104577030902,92840,1866566666.66667
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2023,76.329,NA,0.467682283209992,0.47158984760727,0.329677785097408,0,0,0,28474.0444178181,2.42736300110336,-13.5132714444514,5.06713865364213,-1.698,1.7389598236213,59.0791082092172,93316,2005785185.18518
BHS,Bahamas,Caribbean,WEO,TRUE,2000,19.176,NA,0.464375805878004,0.427355856801259,0.31717332663488,0,0,0,34597.1621145274,4.14841930754267,-7.8368767543246,1.60632941740579,0.093,NA,NA,323835,8076470000
BHS,Bahamas,Caribbean,WEO,TRUE,2001,18.48,NA,0.463895071574523,0.427355856801259,0.318804415038268,6389.599210370974,1,0,35072.3658990461,2.62600982683425,-7.75394544009676,2.04498977505121,0.302,NA,NA,327836,8317830000
BHS,Bahamas,Caribbean,WEO,TRUE,2002,19.435,NA,0.464640430330813,0.427355856801259,0.321094742560539,0,0,0,35610.6786425646,2.70495624731029,-4.76646866689711,2.17357792508093,-1.668,NA,NA,331614,8881160000
BHS,Bahamas,Caribbean,WEO,TRUE,2003,20.841,NA,0.463991287983403,0.427355856801259,0.319881065496051,0,0,0,34740.7635535381,-1.26491667612372,-5.33827728918196,3.02504526252236,-1.629,NA,NA,335618,8870090000
BHS,Bahamas,Caribbean,WEO,TRUE,2004,21.62,NA,0.463942626565556,0.427355856801259,0.320138843124154,28427.250811404163,3,12,34617.8051137459,0.882373744518318,-3.39160866189817,0.981914036757662,-1.947,NA,NA,339782,9055290000
